SIZE	R	W	RW
128 B	11.458635	9.340912	0
256 B	16.921146	12.55016	6.4625773
512 B	22.103828	15.812096	8.09791
1024 B	58.53077	41.64502	11.375259
2 KB	63.873676	29.972874	30.626217
4 KB	54.9654	39.700005	32.389507
8 KB	63.722343	40.077766	38.575356
16 KB	48.606495	41.226414	31.041908
32 KB	48.98752	35.490852	33.214264
64 KB	61.12048	31.743752	28.779865
128 KB	47.101494	28.144812	28.945698
256 KB	42.917324	35.702747	14.05735
512 KB	45.054245	40.180214	15.858929
1024 KB	42.7615	36.05007	12.269053
2 MB	34.37532	25.252626	8.517419
4 MB	32.965027	25.778326	8.541052
8 MB	7.3315077	16.867641	0.371375
16 MB	4.3259172	9.535594	0.092550606
32 MB	3.840003	2.7607028	0.006508774
